"门店名称","款式","商品性质","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)"
" -> 城中店 -> 长裤 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 中袖短板T恤","中袖短板T恤","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 中袖短板T恤 -> 停止进货","中袖短板T恤","停止进货","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 9","9","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 9 -> 停止进货","9","停止进货","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 9 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 套头","套头","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 套头 -> 停止进货","套头","停止进货","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 套头 -> 清理","","清理","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 长袖","长袖","","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 长袖 -> 停止进货","长袖","停止进货","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 长袖 -> 清理","","清理","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 套衫短板卫衣","套衫短板卫衣","","","","","","","","","","9","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 套衫短板卫衣 -> 停止进货","套衫短板卫衣","停止进货","","","","","","","","","6","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 套衫短板卫衣 -> 清理","","清理","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 正常夹克","正常夹克","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 正常夹克 -> 停止进货","正常夹克","停止进货","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 无领中袖","无领中袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 无领中袖 -> 停止进货","无领中袖","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 正常风衣（外套）","正常风衣（外套）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 正常风衣（外套） -> 清理","正常风衣（外套）","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 正常风衣（外套） -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 带帽","带帽","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 带帽 -> 停止进货","带帽","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 鞋","鞋","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
" -> 城中店 -> 鞋 -> 停止进货","鞋","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
" -> 城中店 -> 鞋 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 短裙（膝盖以上）","短裙（膝盖以上）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
" -> 城中店 -> 短裙（膝盖以上） -> 停止进货","短裙（膝盖以上）","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
" -> 城中店 -> 套衫短板毛衣","套衫短板毛衣","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 套衫短板毛衣 -> 清理","套衫短板毛衣","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 开衫","开衫","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 开衫 -> 正常补货","开衫","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 短袖","短袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 短袖 -> 正常补货","短袖","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 短袖 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 格子","格子","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
" -> 城中店 -> 格子 -> 清理","格子","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
" -> 城中店 -> 立领","立领","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 立领 -> 停止进货","立领","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 中袖","中袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 中袖 -> 停止进货","中袖","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店","","","18","18","","","59","47","","","72","52","","","6","4","1","2","","","2","","3","3","","","","","8","4","","","","","","","","","1",""
" -> 博乐店 -> 套衫短板卫衣","套衫短板卫衣","","","","","","","","","","67","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 套衫短板卫衣 -> 停止进货","套衫短板卫衣","停止进货","","","","","","","","","63","49","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 套衫短板卫衣 -> 清理","","清理","","","","","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 中袖短板T恤","中袖短板T恤","","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 中袖短板T恤 -> 停止进货","中袖短板T恤","停止进货","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 中袖短板T恤 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 长裤","长裤","","","","","","53","45","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 长裤 -> 停止进货","长裤","停止进货","","","","","25","22","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 长裤 -> 正常补货","","正常补货","","","","","1","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 长裤 -> 清理","","清理","","","","","27","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 长裤 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> [未知]","[未知]","","6","5","","","3","1","","","1","","","","","","","","","","","","1","","","","","","4","2","","","","","","","","","",""
" -> 博乐店 -> [未知] -> 停止进货","[未知]","停止进货","5","4","","","2","1","","","1","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","",""
" -> 博乐店 -> [未知] -> 正常补货","","正常补货","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","",""
" -> 博乐店 -> [未知] -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 短袖短板T恤","短袖短板T恤","","6","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 短袖短板T恤 -> 正常补货","短袖短板T恤","正常补货","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 短袖短板T恤 -> 停止进货","","停止进货","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 9","9","","","","","","3","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 9 -> 停止进货","9","停止进货","","","","","3","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 9 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 条纹","条纹","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","",""
" -> 博乐店 -> 条纹 -> 停止进货","条纹","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","",""
" -> 博乐店 -> 带帽","带帽","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 带帽 -> 停止进货","带帽","停止进货","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 正常夹克","正常夹克","","","","","","","","","","","","","","6","2","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 正常夹克 -> 停止进货","正常夹克","停止进货","","","","","","","","","","","","","6","2","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 正常夹克 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 短袖","短袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 短袖 -> 正常补货","短袖","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 短袖 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 短袖 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 长袖","长袖","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
" -> 博乐店 -> 长袖 -> 停止进货","长袖","停止进货","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
" -> 博乐店 -> 正常风衣（外套）","正常风衣（外套）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
" -> 博乐店 -> 正常风衣（外套） -> 清理","正常风衣（外套）","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 正常风衣（外套） -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
" -> 博乐店 -> 开衫","开衫","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 开衫 -> 清理","开衫","清理","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 开衫 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 无领长袖","无领长袖","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 无领长袖 -> 停止进货","无领长袖","停止进货","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 中袖","中袖","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 中袖 -> 停止进货","中袖","停止进货","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 上下套装","上下套装","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 上下套装 -> 停止进货","上下套装","停止进货","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 上下套装 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 长袖短板T恤","长袖短板T恤","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 长袖短板T恤 -> 停止进货","长袖短板T恤","停止进货","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 套头","套头","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 博乐店 -> 套头 -> 停止进货","套头","停止进货","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店","","","17","12","","","14","11","","","47","21","1","","3","3","1","7","","","9","7","15","15","","","","","6","2","","","","","","","","","",""
" -> 华浦店 -> 中袖短板T恤","中袖短板T恤","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 中袖短板T恤 -> 停止进货","中袖短板T恤","停止进货","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 套衫短板卫衣","套衫短板卫衣","","","","","","","","","","44","21","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 套衫短板卫衣 -> 停止进货","套衫短板卫衣","停止进货","","","","","","","","","22","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 套衫短板卫衣 -> 清理","","清理","","","","","","","","","22","14","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 正常夹克","正常夹克","","","","","","","","","","","","1","","3","3","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 正常夹克 -> 停止进货","正常夹克","停止进货","","","","","","","","","","","","","3","3","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 正常夹克 -> 清理","","清理","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 上下套装","上下套装","","","","","","","","","","","","","","","","1","7","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 上下套装 -> 清理","上下套装","清理","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 上下套装 -> 停止进货","","停止进货","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 短袖短板T恤","短袖短板T恤","","7","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 短袖短板T恤 -> 正常补货","短袖短板T恤","正常补货","6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 短袖短板T恤 -> 停止进货","","停止进货","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 长裤","长裤","","","","","","14","10","","","","","","","","","","","","","","","10","15","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 长裤 -> 清理","长裤","清理","","","","","9","1","","","","","","","","","","","","","","","9","13","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 长裤 -> 停止进货","","停止进货","","","","","5","7","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 长裤 -> 正常补货","","正常补货","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 长裤 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 9","9","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 9 -> 新款试货","9","新款试货","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 9 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 9 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> [未知]","[未知]","","1","1","","","","0","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> [未知] -> 正常补货","[未知]","正常补货","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> [未知] -> 停止进货","","停止进货","1","","","","","0","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> [未知] -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 长袖","长袖","","6","2","","","","","","","","","","","","","","","","","","","","","","","","","6","3","","","","","","","","","",""
" -> 华浦店 -> 长袖 -> 停止进货","长袖","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","",""
" -> 华浦店 -> 长袖 -> 清理","","清理","6","2","","","","","","","","","","","","","","","","","","","","","","","","","4","2","","","","","","","","","",""
" -> 华浦店 -> 套头","套头","","","","","","","","","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 套头 -> 停止进货","套头","停止进货","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 套头 -> 清理","","清理","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 净色","净色","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 净色 -> 正常补货","净色","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 套衫短板毛衣","套衫短板毛衣","","","","","","","","","","","","","","","","","","","","7","7","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 套衫短板毛衣 -> 清理","套衫短板毛衣","清理","","","","","","","","","","","","","","","","","","","7","7","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 开衫","开衫","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 开衫 -> 正常补货","开衫","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 短袖","短袖","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 短袖 -> 停止进货","短袖","停止进货","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 短袖 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 有领长袖","有领长袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 有领长袖 -> 清理","有领长袖","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 有领长袖 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 长袖短板T恤","长袖短板T恤","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 长袖短板T恤 -> 清理","长袖短板T恤","清理","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 条纹","条纹","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","",""
" -> 华浦店 -> 条纹 -> 停止进货","条纹","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","",""
" -> 华浦店 -> 立领","立领","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 立领 -> 停止进货","立领","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 正常风衣（外套）","正常风衣（外套）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 正常风衣（外套） -> 清理","正常风衣（外套）","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 牛仔","牛仔","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 牛仔 -> 清理","牛仔","清理","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 中袖","中袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 华浦店 -> 中袖 -> 停止进货","中袖","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店","","","73","73","","","47","36","","1","21","18","-1","","16","14","8","4","","","-1","","20","14","","","","","19","13","2","1","","","","0","2","1","2","5"
" -> 桂林2店 -> 中袖短板T恤","中袖短板T恤","","6","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 中袖短板T恤 -> 停止进货","中袖短板T恤","停止进货","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 中袖短板T恤 -> 正常补货","","正常补货","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> [未知]","[未知]","","23","18","","","6","8","","1","2","3","","","10","6","","","","","","","1","6","","","","","6","4","1","","","","","","","","1","4"
" -> 桂林2店 -> [未知] -> 停止进货","[未知]","停止进货","11","6","","","6","7","","","2","3","","","10","6","","","","","","","","","","","","","6","4","","","","","","","","","1","4"
" -> 桂林2店 -> [未知] -> 正常补货","","正常补货","12","12","","","","1","","","","","","","","","","","","","","","1","6","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> [未知] -> 新款试货","","新款试货","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
" -> 桂林2店 -> 正常夹克","正常夹克","","","","","","","","","","","","","","6","8","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 正常夹克 -> 停止进货","正常夹克","停止进货","","","","","","","","","","","","","6","8","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 长裤","长裤","","","","","","38","27","","","","","","","","","","","","","","","14","7","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 长裤 -> 停止进货","长裤","停止进货","","","","","32","22","","","","","","","","","","","","","","","11","4","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 长裤 -> 清理","","清理","","","","","6","5","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 长裤 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 短袖","短袖","","15","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 短袖 -> 正常补货","短袖","正常补货","14","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 短袖 -> 停止进货","","停止进货","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 9","9","","","","","","3","1","","","","","","","","","","","","","","","5","1","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 9 -> 停止进货","9","停止进货","","","","","1","","","","","","","","","","","","","","","","5","1","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 9 -> 正常补货","","正常补货","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 9 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 9 -> 清理","","清理","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 长袖","长袖","","5","5","","","","","","","","","","","","","","","","","","","","","","","","","12","9","","","","","","","","","",""
" -> 桂林2店 -> 长袖 -> 停止进货","长袖","停止进货","3","2","","","","","","","","","","","","","","","","","","","","","","","","","12","9","","","","","","","","","",""
" -> 桂林2店 -> 长袖 -> 清理","","清理","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 开衫","开衫","","","","","","","","","","3","","","","","","1","","","","-1","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 开衫 -> 停止进货","开衫","停止进货","","","","","","","","","3","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 开衫 -> 清理","","清理","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 上下套装","上下套装","","","","","","","","","","","","","","","","7","4","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 上下套装 -> 停止进货","上下套装","停止进货","","","","","","","","","","","","","","","7","4","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 上下套装 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 短袖短板T恤","短袖短板T恤","","24","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 短袖短板T恤 -> 正常补货","短袖短板T恤","正常补货","19","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 短袖短板T恤 -> 停止进货","","停止进货","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 短袖短板T恤 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 鞋","鞋","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","",""
" -> 桂林2店 -> 鞋 -> 停止进货","鞋","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
" -> 桂林2店 -> 鞋 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",""
" -> 桂林2店 -> 围巾","围巾","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 围巾 -> 停止进货","围巾","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 桂林2店 -> 围巾 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
